Team,Division
Chicago Bulls ,Central
Cleveland Cavaliers ,Central
Detroit Pistons ,Central
Indiana Pacers ,Central
Toronto Raptors ,Atlantic
Golden State Warriors ,Pacific
LA Clippers,Pacific
Los Angeles Lakers ,Pacific
Phoenix Suns ,Pacific
Sacramento Kings ,Pacific
Boston Celtics ,Atlantic
Brooklyn Nets ,Atlantic
New York Knicks ,Atlantic
Philadelphia 76ers ,Atlantic
Washington Wizards ,Southeast
Atlanta Hawks ,Southeast
Charlotte Hornets ,Southeast
Miami Heat ,Southeast
New Orleans Pelicans,Southwest
Orlando Magic ,Southeast
Denver Nuggets,Northwest
Milwaukee Bucks ,Central
Minnesota Timberwolves,Northwest
Portland Trail Blazers ,Northwest
Utah Jazz,Northwest
Dallas Mavericks ,Southwest
Houston Rockets ,Southwest
Memphis Grizzlies ,Southwest
Oklahoma City Thunder,Northwest
San Antonio Spurs,Southwest